variable,importancia
repetidor,0.2890744915143471
curso,0.20382668148869262
escs,0.13020545715532159
ansiedad_mat,0.07544096872667821
expectativa_isced,0.0659749562366716
absentismo,0.06437260391132339
estatus_migratorio,0.03213555238254559
educ_madre,0.03138722752733033
pertenencia,0.030089470182474043
educ_padre,0.02213608491684522
hago_amigos,0.0144025033856755
siento_excluido,0.013449314070017732
me_siento_parte,0.011995495084749513
acoso_escolar,0.00947633235604539
genero,0.006032861061282203
